CardID,AccountID,CardType,UsageType
be901a64-a0cc-4d31-8e22-efcfd02b4c3a,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,Virtual,Credit
e8780458-ab48-406d-ae8a-457fc712cf67,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,Virtual,Domestic
2e44d349-9122-4311-b74e-5dff06906169,f00f63ef-e59f-41c2-804e-a81ad3d877a8,Virtual,Debit
5436deb3-f229-437b-a169-d799062e5424,6e76936a-a634-4d1a-adb6-10f4c65de86e,Primary,Domestic
69824369-ebb1-4253-8ad2-a7ba194b3b6e,6dd013f3-87a2-4e22-b298-b8110b1ec578,Virtual,Debit
74e5418d-baa3-40fa-8743-8e60cd4901c9,6dd013f3-87a2-4e22-b298-b8110b1ec578,Virtual,Debit
5bcc7bfb-40e6-4eed-a414-f2c5d9743ff0,59bb8900-6198-4718-84c7-aab4ca20508d,Virtual,Domestic
5a357945-5813-4496-aed9-dac5d18097f4,59bb8900-6198-4718-84c7-aab4ca20508d,Supplementary,International
46d162d6-3faa-4fd6-b730-d07ef93c8285,937ca77c-b25b-4de7-9652-1e08c2f43c10,Supplementary,International
53133ea1-0c3c-400f-88a1-34aa722d8397,412817eb-2246-49cd-acec-df821903f9b3,Primary,Debit
a282bbab-fdb0-4520-b2f8-81eb754ce511,412817eb-2246-49cd-acec-df821903f9b3,Supplementary,Domestic
291c9094-cb2c-4efb-84c3-b30d435f59e6,9929afeb-4884-4a14-9575-11addbeae9f8,Primary,Domestic
dd0d3739-c553-4b6d-8ef8-66193599fe91,be5f902f-b58a-4738-8166-72213063ae7f,Supplementary,International
bd9ed3fc-5266-4d86-a5f6-21818c1a6477,be5f902f-b58a-4738-8166-72213063ae7f,Virtual,Credit
c7ed8888-5939-4c71-80d9-863f66bcf6f0,6001f54d-01d7-4831-850f-1cdc1e2a03f1,Supplementary,International
7ff5475c-d83f-4f4f-ac0b-fe69d0c29b24,cde5c35a-b011-4b0a-b496-51d6a79055b0,Primary,Debit
5a0fdf61-5571-4266-96c0-2601db4d2d18,1b4909b6-5cbd-4682-a8aa-123650deef43,Primary,Debit
ce1eaeb5-bd67-4ba0-89c9-c0f39dcc91b0,1b4909b6-5cbd-4682-a8aa-123650deef43,Primary,Domestic
510861bb-3a42-468f-b745-75cdd6138a1e,95dad216-a6cd-4e3c-ad13-0705279f91ab,Virtual,International
ea072198-19ee-4d26-8e4b-36aad4249390,893e2b89-dadf-4499-82e4-bf0140ee131d,Virtual,Credit
67f3e4bf-a3b3-4be6-9726-9541b8d11a8f,893e2b89-dadf-4499-82e4-bf0140ee131d,Primary,International
a3b4a240-7f48-4536-9f2e-444a501bcf44,2dc09158-7b83-41cf-8ebc-6d7ec8a65b85,Primary,Debit
33c00b7d-61f8-43f4-81ae-35bb2faa49dd,2dc09158-7b83-41cf-8ebc-6d7ec8a65b85,Primary,Debit
7c45d65d-b517-48ef-9b21-3e3143c2181f,dd23ff41-dae1-4586-a358-755cbc5c3cd8,Virtual,Credit
7011a2be-ce4f-4c66-9645-b6bb59c085a8,f301bb6c-b306-4300-8879-d93272540ab7,Supplementary,International
28c2783d-c138-498b-9c88-da6ee551da7a,8222cd7f-36e6-4a85-99ab-dc15296b67bf,Virtual,Debit
0413d049-52a0-428b-ab25-a58af5953b2e,639c4c6c-2926-405d-8d53-551ab4f02f6f,Primary,Credit
4f7ebc54-94f3-4a1b-b096-0fbb1c89fe3c,78bf46fa-2534-4e85-92c0-dec2175194d7,Virtual,International
a46e47a2-b342-4968-8191-086be8a91aba,78bf46fa-2534-4e85-92c0-dec2175194d7,Virtual,International
8f56fffc-c1bb-4767-8bd4-01528f7bf6c2,1690636b-6f74-455d-99a9-af6aed054732,Supplementary,Debit
9e541d3e-65e1-4146-ad8b-62b689cb09aa,1690636b-6f74-455d-99a9-af6aed054732,Virtual,Domestic
17e6ae99-32d8-4c29-9370-7fcbb21534f7,6690a951-fc04-4a7a-ae41-5f166263307c,Primary,Debit
ea299a22-9914-457d-b62f-b6ee172dc647,6690a951-fc04-4a7a-ae41-5f166263307c,Virtual,International
da2a5b5f-6796-4bd9-a9c6-d4e3e07eaf26,49560c36-8560-4e8a-a7fb-19979d2cd944,Primary,Debit
5714fc0b-b744-4158-a550-e249436c3827,0eb5e5a7-98f3-4640-b6a9-e3e3b62bccb1,Supplementary,Domestic
220e674e-6591-499b-9a92-9d2788676641,31dae817-4937-490f-84a5-b18bcdcd0a34,Supplementary,Credit
d8528abb-1a87-4c25-a29f-1962ebd795f5,82b34384-9979-4f26-88b1-90e1089a9f4f,Primary,International
e05ff96e-d087-4c98-bc7d-0017f4c1540b,82b34384-9979-4f26-88b1-90e1089a9f4f,Primary,Domestic
9d091856-4b3d-4578-8c69-a8cae32ffec3,f9c3ee05-0012-4399-a7af-55453d3fec1b,Primary,Credit
52e6ef74-150b-41d8-b882-c32691f28485,46a3cc71-ff2f-4883-963b-5481284e4cd4,Primary,Debit
d37d8533-714a-4ae0-b98e-1f36ffdb3a38,ab6ef8dd-5a66-4316-a641-4954c798a445,Virtual,Credit
27aedaae-8c48-43f4-bef3-89ba0a7016c8,ab6ef8dd-5a66-4316-a641-4954c798a445,Primary,Domestic
