TransactionID,AccountID,Amount,TransactionChannel,TransactionType
2977fb6e-29d2-45d6-8c03-b6d6f27eec3b,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,2831.72,Branch,Out
f1bef588-9c08-41d4-8f20-2a19d0a836ae,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,4188.29,International,In
569d7aeb-640e-40e7-ac10-56b347c3c463,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,1034.99,International,Out
5636d3b7-c069-47d3-b2cd-fdd02e616bd7,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,303.22,Mobile,Out
ec1aa530-c0ff-4bc4-9f44-9bffbad65109,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,503.42,Branch,Out
33777a82-32ef-483d-a8d3-e1aac23f2471,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,588.87,Internet,In
273fd952-fe77-49f9-8533-4baf222b8537,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,2919,Mobile,In
0262bf90-3bd8-4e22-8b0f-ab8e9fa4ce21,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,4981.83,Mobile,Out
5487452b-226a-4b48-8428-6ad922e40b50,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,3348.34,Branch,In
1b993f82-fdd3-4eea-92d8-8eb166b9ce27,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,4853.54,International,In
028ccae1-e0b8-4731-b454-4a6a372cba50,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,1453.75,Branch,In
32803153-382e-40e8-859f-99d73acf0cbf,a8cdf44d-7b74-4440-97db-4c2f1e158e2f,4203.51,Card,Out
70e39ecb-77ec-4430-a885-ca4740ee7a6e,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,692.22,Card,In
1f737931-b137-4223-bbeb-914b115626bb,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,3865.31,International,In
c88736e9-6d82-4f0b-a6a1-9ff8ab9a9585,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,4849.07,Card,Out
d0d74aa0-eecc-4146-9d7d-c0fd74cfb32b,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,2459.39,Mobile,Out
6d473b55-db1c-41cb-b002-983102bda3a7,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,945.74,Branch,In
9c137f71-7a77-44de-86a1-c1ef2459bf96,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,2775,Branch,In
d057358d-c03b-4a8e-98ed-77989c266a1b,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,4590.67,Card,Out
bf96abad-e60d-4941-bfc6-8e1450b034fd,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,3077.18,Branch,Out
a44a0d54-472a-4d93-ac6e-7aa80e81a1fd,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,619.35,International,Out
1407a94b-0e59-4ba4-b5ea-7f1e5ec51b50,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,854.9,Internet,In
e9052c4b-2c4c-4385-a74c-87ebf10a373d,f00f63ef-e59f-41c2-804e-a81ad3d877a8,1426.95,Branch,In
8e5e71c5-94eb-4e5d-bc16-5b0e3b17b288,f00f63ef-e59f-41c2-804e-a81ad3d877a8,3552.83,Branch,Out
7cd5babe-d0e9-4e5d-8220-f0b6c5035b6c,f00f63ef-e59f-41c2-804e-a81ad3d877a8,1096.8,Branch,Out
377f35c1-076f-432f-bc28-29392bae3b70,f00f63ef-e59f-41c2-804e-a81ad3d877a8,2988.09,Card,In
f365185d-eafb-4b2c-b77c-32c24556a328,f00f63ef-e59f-41c2-804e-a81ad3d877a8,1948.79,Card,Out
2086ba87-0bf2-498c-a1be-4ca5cadaf90f,f00f63ef-e59f-41c2-804e-a81ad3d877a8,4072.6,Mobile,In
116f176a-755d-4764-8bc6-fdb98a497bbd,f00f63ef-e59f-41c2-804e-a81ad3d877a8,4991.72,Internet,Out
94deff78-ccaf-419b-b8e2-74d8f250f86c,f00f63ef-e59f-41c2-804e-a81ad3d877a8,3700.57,Branch,In
ffd8ca90-cc12-444b-bdcc-5163cf3b5aa8,f00f63ef-e59f-41c2-804e-a81ad3d877a8,703.26,Mobile,Out
17430eff-0431-4773-8544-3fb6ead24b3d,f00f63ef-e59f-41c2-804e-a81ad3d877a8,2437.93,Branch,Out
f5260cb1-29bd-44d4-b7bb-24ab7447b052,6e76936a-a634-4d1a-adb6-10f4c65de86e,2718.59,International,Out
21e5259f-cc0c-419c-a973-6b1829d5039a,6e76936a-a634-4d1a-adb6-10f4c65de86e,2607.78,Mobile,Out
5f9094ca-e18e-463b-8d57-aef54aecb057,6e76936a-a634-4d1a-adb6-10f4c65de86e,1958.23,Mobile,In
e0f0c823-d077-4d1f-b079-04e00ef92e30,6e76936a-a634-4d1a-adb6-10f4c65de86e,4906,Branch,Out
d4d1bf15-ea92-49d4-a9e0-d8c3b8e2e864,6e76936a-a634-4d1a-adb6-10f4c65de86e,538.77,Mobile,Out
8be5199e-e212-42e8-a91a-0e8b424a1f16,6e76936a-a634-4d1a-adb6-10f4c65de86e,2262.57,Card,In
f55c6af8-c6b4-4036-baca-2a87766afbe7,6e76936a-a634-4d1a-adb6-10f4c65de86e,1834.45,International,Out
